,"NO3, pMMO, Redox-Arm Only","NO3, sMMO, Redox-Arm Only","NH3, pMMO, Redox-Arm Only","NH3, sMMO, Redox-Arm Only","NO3, pMMO, Redox-Arm, H/ATP 3.0","NO3, pMMO, Redox-Arm, H/ATP 2.8","NO3, pMMO, Redox-Arm, H/ATP 2.6","NO3, pMMO, Redox-Arm, H/ATP 2.4","NO3, pMMO, Redox-Arm, H/ATP 2.2","NO3, pMMO, Redox-Arm, H/ATP 2.0","NO3, pMMO, Redox-Arm, H/ATP 1.7999999999999998","NO3, pMMO, Redox-Arm, H/ATP 1.5999999999999999","NO3, pMMO, Redox-Arm, H/ATP 1.4","NO3, pMMO, Redox-Arm, H/ATP 1.2","NH4, pMMO, Redox-Arm, H/ATP 3.0","NH4, pMMO, Redox-Arm, H/ATP 2.8","NH4, pMMO, Redox-Arm, H/ATP 2.6","NH4, pMMO, Redox-Arm, H/ATP 2.4","NH4, pMMO, Redox-Arm, H/ATP 2.2","NH4, pMMO, Redox-Arm, H/ATP 2.0","NH4, pMMO, Redox-Arm, H/ATP 1.7999999999999998","NH4, pMMO, Redox-Arm, H/ATP 1.5999999999999999","NH4, pMMO, Redox-Arm, H/ATP 1.4","NH4, pMMO, Redox-Arm, H/ATP 1.2","NO3, pMMODC, RedEff 0.0","NO3, pMMODC, RedEff 0.5","NO3, pMMODC, RedEff 1.0","NO3, pMMODC, RedEff 1.5","NO3, pMMODC, RedEff 2.0","NO3, pMMODC, RedEff 2.5","NO3, pMMODC, RedEff 3.0","NO3, pMMODC, RedEff 3.5","NO3, pMMODC, RedEff 4.0","NO3, pMMODC, RedEff 4.5","NO3, pMMODC, RedEff 5.0","NO3, pMMODC, RedEff 5.5","NO3, pMMODC, RedEff 6.0","NH4, pMMODC, RedEff 0.0","NH4, pMMODC, RedEff 0.5","NH4, pMMODC, RedEff 1.0","NH4, pMMODC, RedEff 1.5","NH4, pMMODC, RedEff 2.0","NH4, pMMODC, RedEff 2.5","NH4, pMMODC, RedEff 3.0","NH4, pMMODC, RedEff 3.5","NH4, pMMODC, RedEff 4.0","NH4, pMMODC, RedEff 4.5","NH4, pMMODC, RedEff 5.0","NH4, pMMODC, RedEff 5.5","NH4, pMMODC, RedEff 6.0","NO3, pMMO, Uphill ET, -5.0","NO3, pMMO, Uphill ET, -4.8","NO3, pMMO, Uphill ET, -4.6","NO3, pMMO, Uphill ET, -4.3999999999999995","NO3, pMMO, Uphill ET, -4.199999999999999","NO3, pMMO, Uphill ET, -3.999999999999999","NO3, pMMO, Uphill ET, -3.799999999999999","NO3, pMMO, Uphill ET, -3.5999999999999988","NO3, pMMO, Uphill ET, -3.3999999999999986","NO3, pMMO, Uphill ET, -3.1999999999999984","NO3, pMMO, Uphill ET, -2.9999999999999982","NO3, pMMO, Uphill ET, -2.799999999999998","NO3, pMMO, Uphill ET, -2.599999999999998","NO3, pMMO, Uphill ET, -2.3999999999999977","NO3, pMMO, Uphill ET, -2.1999999999999975","NO3, pMMO, Uphill ET, -1.9999999999999973","NO3, pMMO, Uphill ET, -1.7999999999999972","NO3, pMMO, Uphill ET, -1.599999999999997","NO3, pMMO, Uphill ET, -1.3999999999999968","NO3, pMMO, Uphill ET, -1.1999999999999966","NO3, pMMO, Uphill ET, -0.9999999999999964","NO3, pMMO, Uphill ET, -0.7999999999999963","NO3, pMMO, Uphill ET, -0.5999999999999961","NO3, pMMO, Uphill ET, -0.3999999999999959","NO3, pMMO, Uphill ET, -0.19999999999999574","NH3, pMMO, Uphill ET, -5.0","NH3, pMMO, Uphill ET, -4.8","NH3, pMMO, Uphill ET, -4.6","NH3, pMMO, Uphill ET, -4.3999999999999995","NH3, pMMO, Uphill ET, -4.199999999999999","NH3, pMMO, Uphill ET, -3.999999999999999","NH3, pMMO, Uphill ET, -3.799999999999999","NH3, pMMO, Uphill ET, -3.5999999999999988","NH3, pMMO, Uphill ET, -3.3999999999999986","NH3, pMMO, Uphill ET, -3.1999999999999984","NH3, pMMO, Uphill ET, -2.9999999999999982","NH3, pMMO, Uphill ET, -2.799999999999998","NH3, pMMO, Uphill ET, -2.599999999999998","NH3, pMMO, Uphill ET, -2.3999999999999977","NH3, pMMO, Uphill ET, -2.1999999999999975","NH3, pMMO, Uphill ET, -1.9999999999999973","NH3, pMMO, Uphill ET, -1.7999999999999972","NH3, pMMO, Uphill ET, -1.599999999999997","NH3, pMMO, Uphill ET, -1.3999999999999968","NH3, pMMO, Uphill ET, -1.1999999999999966","NH3, pMMO, Uphill ET, -0.9999999999999964","NH3, pMMO, Uphill ET, -0.7999999999999963","NH3, pMMO, Uphill ET, -0.5999999999999961","NH3, pMMO, Uphill ET, -0.3999999999999959","NH3, pMMO, Uphill ET, -0.19999999999999574","NO3, pMMO, Uphill Unconstrained","NH3, pMMO, Uphill Unconstrained","NO3, sMMO","NO3, pMMO","NH3, sMMO","NH3, pMMO","N2, sMMO","N2, pMMO","NO3, pMMODC","NH4, pMMODC","N2, pMMODC","NH3, pMMO, 1/2*NO2","NH3, pMMO, 1/1.0*NO2","NH3, pMMO, 1/1.2*NO2","NH3, pMMO, 1/1.4*NO2","NH3, pMMO, 1/1.5999999999999999*NO2","NH3, pMMO, 1/1.7999999999999998*NO2","NH3, pMMO, 1/1.9999999999999998*NO2","NH3, pMMO, 1/2.1999999999999997*NO2","NH3, pMMO, 1/2.3999999999999995*NO2","NH3, pMMO, 1/2.5999999999999996*NO2","NH3, pMMO, 1/2.8*NO2","NH3, pMMO, 1/2.9999999999999996*NO2","NH3, pMMO, 1/3.1999999999999993*NO2","NH3, pMMO, 1/3.3999999999999995*NO2","NH3, pMMO, 1/3.5999999999999996*NO2","NH3, pMMO, 1/3.7999999999999994*NO2","NH3, pMMO, 1/3.999999999999999*NO2","NO3, pMMO, 1/2*NO2","O2-Limited, NH3, pMMO, 0.29","NO3, pMMODC RedEf","NH4, pMMODC RedEf","NH3, pMMODC RedEf, 1/2*NO2","NO3, pMMODC RedEf, 1/2*NO2"
Methane UTR,-18.460000001840537,-18.460000000000015,-18.460000000000054,-18.45999999999994,-18.460000000000278,-18.460000000000047,-18.45999999999999,-18.459998097548734,-18.460000000000278,-18.46000000000014,-18.46000000000007,-18.460000000000115,-18.460000000000207,-18.460000000000175,-18.45999999999998,-18.459999999999972,-18.46000000000012,-18.460000000000022,-18.460000000000107,-18.459999999999912,-18.46,-18.46000000000005,-18.459999999999912,-18.460000000000147,-18.46,-18.46,-18.46,-18.46,-18.46000000000001,-18.459999999999575,-18.460000000000264,-18.46000000000004,-18.46000000000009,-18.459999999999987,-18.459998126449538,-18.459999999999887,-18.45999999999977,-18.46,-18.46,-18.46,-18.46,-18.46,-18.460000000000132,-18.459999999999994,-18.45999999999995,-18.459999999999923,-18.459999999999827,-18.45999999999998,-18.460000000000026,-18.459999999999933,-18.460000000000292,-18.46000000000021,-18.460000000000065,-18.46000000000013,-18.46000000000036,-18.46000000000028,-18.460000000000186,-18.460000000000186,-18.460000000000356,-18.460000000000303,-18.46000000000012,-18.46000000000016,-18.46000000000024,-18.46000000000037,-18.460000000000218,-18.460000000000175,-18.46000000000031,-18.46000000000038,-18.460000000000164,-18.460000000000257,-18.460000000000335,-18.46000000000035,-18.460000000000257,-18.460000000000157,-18.46000000000028,-18.46,-18.46,-18.459999999999972,-18.460000000000047,-18.459999999999862,-18.46000000000001,-18.45999999999996,-18.460000000000004,-18.459999999999948,-18.460000000000043,-18.459999999999976,-18.460000000000004,-18.45999999999996,-18.459999999999994,-18.459999999999948,-18.460000000000043,-18.459999999999926,-18.46000000000007,-18.459999999999965,-18.459999999999983,-18.45999999999998,-18.459999999999983,-18.459999999999972,-18.46,-18.459999999999972,-18.46,-18.46,-18.459999999999763,-18.460000000000342,-18.46000000000008,-18.459998281893274,-18.45999999999965,-18.46,-18.46,-18.46,-18.46,-18.460000000000072,-2.581538461538457,-18.46000000002064,-18.46000000000005,-18.459998002858843,-18.460000000000075,-18.45999999999988,-18.459999999999837,-18.46000000000007,-18.45999987985431,-18.459999999999855,-18.459999999999802,-18.45999999999652,-18.4599999999999,-18.45999999999996,-18.459999999999983,-18.459999999999855,-18.460000000000473,-17.83987213055401,-18.460000000000075,-18.459999971863937,-18.45999999999991,-18.460000000000075
Oxygen UTR,-27.807104751203486,-27.806965683260284,-27.861019620799514,-27.86101962079934,-27.806965683260678,-27.80696568326033,-27.806965683260245,-27.806963001304595,-27.806965683260678,-27.806965683260472,-27.806965683260366,-27.806965683260433,-27.80696568326057,-27.806965683260525,-27.8610196207994,-27.86101962079939,-27.861019620799617,-27.861019620799468,-27.8610196207996,-27.861019620799297,-27.86101962079944,-27.86101962079951,-27.861019620799297,-27.861019620799652,-21.775399906672632,-22.3993271467257,-23.250448524890874,-24.161751956564366,-24.76928757768036,-25.203241592762602,-25.528707104075693,-25.78184694620704,-25.98435881991244,-26.15005035294392,-26.2881241768289,-26.404960403761674,-26.50510363801139,-23.162772976926124,-23.729543220735216,-24.01292834263967,-24.237427469119176,-24.84135949439918,-25.272739512456592,-25.59627452599928,-25.8479128698659,-26.049223544959204,-26.21393227912635,-26.35118955759931,-26.467330331691688,-26.566879566627822,-25.338646529214188,-25.43737929537592,-25.536112061537562,-25.63484482769952,-25.73357759386173,-25.832310360023474,-25.931043126185187,-26.02977589234705,-26.12850865850917,-26.22724142467095,-26.325974190832536,-26.424706956994456,-26.523439723156436,-26.622172489318494,-26.720905255480123,-26.81963802164192,-26.918370787803987,-27.017103553965953,-27.115836320127485,-27.214569086289487,-27.313301852451467,-27.412034618613347,-27.510767384775068,-27.609500150936782,-27.708232917098826,-25.40734129490548,-25.50548842794127,-25.60363556097693,-25.701782694012802,-25.79992982704828,-25.898076960084268,-25.99622409311995,-26.094371226155772,-26.192518359191446,-26.290665492227347,-26.388812625263007,-26.48695975829881,-26.585106891334505,-26.683254024370314,-26.781401157406002,-26.879548290441907,-26.977695423477485,-27.07584255651346,-27.173989689549064,-27.272136822584855,-27.370283955620607,-27.46843108865637,-27.566578221692115,-27.664725354727913,-27.76287248776363,-23.64718162683134,-24.863083708353177,-27.02509870499089,-26.424706956994726,-27.86101962079955,-26.48695747138597,-28.367550793468006,-26.399455666714758,-21.77539990667272,-23.16277297692616,-22.265531772135695,-29.769348910089885,-5.1630769230769165,-38.091473668449176,-33.58953231957635,-31.604277276711976,-30.486392741680582,-29.769348910089555,-29.270328775674685,-28.903016729807952,-28.62134828395621,-28.398497930814923,-28.21778342606081,-28.068286692064436,-27.942561729584344,-27.835356141028562,-27.742858746255408,-27.662236991690072,-26.424706956994925,-25.55102317914927,-26.40496040376194,-26.4673302913511,-29.755895192140578,-26.404960403761947
CO2 UTR,12.468018667218898,12.468098114161208,9.699030459015818,9.699030459015768,12.468098114161386,12.468098114161243,12.468098114161192,12.46809688439676,12.468098114161393,12.4680981141613,12.468098114161258,12.468098114161284,12.468098114161343,12.468098114161322,9.699030459015793,9.699030459015786,9.699030459015844,9.699030459015813,9.69903045901586,9.699030459015763,9.699030459015672,9.699030459015821,9.69903045901576,9.699030459015857,8.502289460844771,8.912527223192802,9.472147171217028,10.071337359825746,10.470797485548283,10.75612614677845,10.970122642701671,11.136564361752615,11.269717736993503,11.378661407645057,11.469446700161258,11.546267054801325,11.612112130469804,5.155340769885701,5.703466125598867,5.977528803455317,6.1946426426220755,6.778707278687651,7.195896304448929,7.508788073769751,7.752148338797067,7.946836550818914,8.106126906109491,8.23886886885175,8.35118899117208,8.44746338173231,10.845156108246234,10.910073788482784,10.974991468719303,11.039909148955939,11.104826829192715,11.16974450942926,11.23466218966581,11.299579869902411,11.364497550139136,11.429415230375708,11.494332910612181,11.559250590848825,11.624168271085477,11.689085951322182,11.754003631558685,11.818921311795263,11.883838992031954,11.948756672268619,12.013674352505069,12.078592032741744,12.143509712978402,12.20842739321501,12.273345073451567,12.338262753688104,12.403180433924796,7.326070128305045,7.420988541533512,7.515906954761868,7.610825367990332,7.70574378121868,7.800662194447179,7.895580607675586,7.990499020904013,8.085417434132438,8.180335847360913,8.275254260589305,8.370172673817754,8.465091087046194,8.560009500274623,8.654927913503034,8.74984632673151,8.844764739959885,8.939683153188376,9.03460156641676,9.129519979645208,9.224438392873628,9.319356806102073,9.414275219330499,9.509193632558938,9.604112045787366,9.733002747888547,6.7997168370249055,11.954013555853223,11.559250590848947,9.69903045901583,8.370172032922916,9.449574365301352,7.376089407555927,8.502289460844825,5.155340769885746,8.82455556310043,9.415157298401942,2.581538461538459,12.064597189930836,10.631354629491298,9.999326938120147,9.643436074779315,9.415157298401837,9.256288759753105,9.139350937147343,9.049678689510648,8.97873183825904,8.92119939156412,8.87360546493691,8.833579542768023,8.799449466616275,8.770001905439893,8.744335084709103,11.55925059084903,8.044352825379741,11.546267054801438,8.351188978443504,9.398139720412019,11.546267054801438
NH4 UTR,0.0,0.0,-2.1327530844085594,-2.1327530844085407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.132753084408539,-2.1327530844085385,-2.1327530844085736,-2.13275308440855,-2.132753084408564,-2.1327530844085283,-2.1327530844090616,-2.1327530844085514,-2.132753084408532,-2.1327530844085745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.238859908973422,-3.1054253572869555,-3.03870808144378,-2.98585431817199,-2.8436707792114215,-2.742111108525295,-2.6659413555106726,-2.606698214277096,-2.5593037012902484,-2.5205263724828026,-2.4882119318099774,-2.4608689435483226,-2.4374320964668987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.710421850499691,-2.6873150998560345,-2.664208349212399,-2.641101598568767,-2.617994847925088,-2.5948880972814714,-2.5717813466378066,-2.548674595994189,-2.525567845350519,-2.50246109470689,-2.479354344063237,-2.456247593419595,-2.4331408427759182,-2.4100340921322974,-2.386927341488637,-2.3638205908450147,-2.3407138402013485,-2.317607089557721,-2.294500338914058,-2.2713935882704153,-2.2482868376267717,-2.225180086983123,-2.2020733363394736,-2.178966585695834,-2.155859835052184,0.0,-2.8385562539141613,0.0,0.0,-2.1327530844085603,-2.45624726482838,0.0,0.0,0.0,-3.2388599089734034,0.0,-4.4037172095125126,1.1177209696079354e-16,-9.34130495737442,-6.670264767963298,-5.492397232244488,-4.829145460354685,-4.4037172095124655,-4.107644286817974,-3.8897149018878876,-3.722598692576291,-3.590379574371972,-3.4831601098536455,-3.3944624162862107,-3.319868718494621,-3.25626272397872,-3.2013832268934217,-3.1535496489259414,0.0,-2.3846017668900252,0.0,-2.460868939797546,-4.412002660518141,0.0
N2 UTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.349767892989936e-13,0.0,0.0,0.0,0.0,0.0,-1.0907689010706732e-11,2.4672035421251402e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.5548230420892947,-0.6824992783319646,0.0,0.0,0.0,0.0,-1.355252715487026e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.682903264471474e-29,0.0,0.0,0.0,0.0
NO3 UTR,-1.4585687045752473,-1.458656735275041,0.0,0.0,-1.458656735275069,-1.458656735275054,-1.458656735275047,-1.4586565321110783,-1.4586567352750723,-1.4586567352750612,-1.4586567352750546,-1.458656735275058,-1.458656735275065,-1.4586567352750603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.424085344285451,-2.324217875405912,-2.1879851028967887,-2.042119429385086,-1.94487564703339,-1.8754158024964236,-1.8233209190938324,-1.7828026764472753,-1.7503880823300546,-1.7238670507795906,-1.7017659567939087,-1.6830654637788756,-1.6670362688857372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8537425248945247,-1.8379390933097397,-1.8221356617249487,-1.8063322301401739,-1.7905287985554192,-1.7747253669706378,-1.7589219353858492,-1.7431185038010677,-1.7273150722163064,-1.7115116406315247,-1.6957082090467286,-1.6799047774619529,-1.6641013458771852,-1.6482979142924175,-1.632494482707622,-1.6166910511228423,-1.6008876195380775,-1.585084187953306,-1.5692807563685067,-1.5534773247837352,-1.5376738931989664,-1.52187046161419,-1.5060670300294015,-1.4902635984446126,-1.4744601668598487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1244829376469454,0.0,-1.5838044626182892,-1.6799047774619724,0.0,0.0,0.0,0.0,-2.424085344285413,0.0,-2.3456335222158717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6799047774619722,0.0,-1.6830654637788927,0.0,0.0,-1.6830654637788984
Uphill Electron Transfer Flux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.242038301854949,1.35257564551695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88611536668822,3.8877220224885347,1.3885253503884822,-6.299618805950976e-14,-1.3386689962645825e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.8,-4.6,-4.3999999999999995,-4.199999999999999,-3.999999999999999,-3.799999999999999,-3.5999999999999988,-3.3999999999999986,-3.1999999999999984,-2.9999999999999982,-2.799999999999998,-2.599999999999998,-2.3999999999999977,-2.1999999999999975,-1.9999999999999973,-1.7999999999999972,-1.599999999999997,-1.3999999999999968,-1.1999999999999966,-0.9999999999999964,-0.7999999999999963,-0.5999999999999961,-0.3999999999999959,-0.19999999999999574,-4.999999999999947,-4.799999999999884,-4.6,-4.3999999999999995,-4.199999999999999,-3.999999999999999,-3.799999999999999,-3.5999999999999988,-3.3999999999999986,-3.1999999999999984,-2.9999999999999982,-2.799999999999998,-2.599999999999998,-2.3999999999999977,-2.1999999999999975,-1.9999999999999973,-1.7999999999999972,-1.599999999999997,-1.3999999999999968,-1.1999999999999966,-0.9999999999999964,-0.7999999999999963,-0.5999999999999961,-0.3999999999999959,-0.19999999999999574,-8.426349667160032,-6.109064665911292,-1.5838044626182892,-2.8,0.0,-2.8,1.1771423482738141,-2.799999999998164,6.242038301855127,8.886115366688296,7.234883705698996,-2.8,2.581538461538463,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,0.0,0.0,0.0,0.0
Growth Rate,0.17804211751424018,0.17800416560102383,0.2602661229624866,0.2602661229624865,0.1780041656010238,0.1780041656010226,0.17800416560102203,0.17800416687517479,0.17800416560102497,0.17800416560102367,0.1780041656010234,0.17800416560102345,0.1780041656010244,0.17800416560102297,0.2602661229624875,0.2602661229624871,0.2602661229624868,0.26026612296248686,0.2602661229624893,0.26026612296248763,0.2602661229624885,0.2602661229624881,0.2602661229624876,0.26026612296248747,0.2958182543021876,0.283631133755813,0.2670062484022696,0.24920583184143377,0.23733888746803222,0.22886249862988695,0.22250520700128096,0.21756064684569634,0.21360499872123018,0.21036855934666554,0.20767152834615837,0.20538942184733694,0.20343333211545414,0.39524758749131605,0.37896417724071396,0.3708224721154151,0.3643725721474825,0.347021497283318,0.33462787238034253,0.32533265370310926,0.31810303917637345,0.3123193475549835,0.3075872362283921,0.30364381012290154,0.30030706495671616,0.2974469976714138,0.2262176449079111,0.22428910573563543,0.22236056656335945,0.2204320273910846,0.21850348821880894,0.2165749490465322,0.21464640987425737,0.21271787070198198,0.2107893315297077,0.2088607923574311,0.20693225318515532,0.2050037140128803,0.20307517484060433,0.20114663566832958,0.19921809649605413,0.19728955732377876,0.19536101815150334,0.19343247897922833,0.19150393980695168,0.18957540063467718,0.18764686146240112,0.18571832229012583,0.18378978311785105,0.1818612439455746,0.17993270477329953,0.33076073914951015,0.3279409545020286,0.32512116985454836,0.3223013852070674,0.3194816005595859,0.31666181591210507,0.3138420312646257,0.3110222466171423,0.3082024619696628,0.3053826773221824,0.30256289267470055,0.2997431080272194,0.2969233233797413,0.294103538732258,0.2912837540847779,0.2884639694372967,0.2856441847898148,0.2828244001423351,0.2800046154948539,0.2771848308473728,0.27436504619989166,0.2715452615524112,0.2687254769049303,0.2659056922574493,0.2630859076099684,0.25925689266306934,0.34639735673951094,0.19327631033794368,0.20500371401288023,0.2602661229624882,0.29974311182251295,0.13541339060446744,0.1665748073764513,0.2958182543021908,0.39524758749131533,0.28624454803555865,0.26869927257914283,-1.1554113527603068e-16,0.18999117451109243,0.23256914307244927,0.25134504901015536,0.2619176907228862,0.2686992725791425,0.27341885280612205,0.27689277810342683,0.27955670894471846,0.28166436302285647,0.28337350568974673,0.28478740020233484,0.28597646855065595,0.28699038630883067,0.2878651984563023,0.2886276944208331,0.20500371401288423,0.291,0.20538942184733788,0.3003070644990013,0.26920482153978054,0.2053894218473354
Growth Yield,0.6012937506467062,0.6011655773925956,0.878985239239678,0.8789852392396831,0.6011655773925869,0.6011655773925904,0.6011655773925902,0.6011656436506774,0.6011655773925908,0.6011655773925909,0.6011655773925924,0.6011655773925909,0.6011655773925912,0.6011655773925875,0.8789852392396846,0.8789852392396834,0.8789852392396754,0.8789852392396804,0.8789852392396845,0.8789852392396883,0.878985239239687,0.8789852392396832,0.8789852392396881,0.8789852392396765,0.9990538763539,0.9578948543991221,0.9017483660913724,0.8416318083496358,0.801554103190129,0.7729271709333527,0.7514569717407382,0.7347579279242843,0.721398692871117,0.7104684096457992,0.7013599175924318,0.6936525892991594,0.6870463741629699,1.3348521555378754,1.2798589159573777,1.252362296167136,1.230579334935557,1.1719803189862492,1.130123879022447,1.0987315490496046,1.07431529240406,1.0547822870876193,1.0388007372832646,1.0254827791129635,1.0142137375842484,1.004554559131069,0.7639948237069418,0.7574816538543704,0.7509684840018005,0.7444553141492257,0.7379421442966417,0.7314289744440663,0.7249158045914982,0.7184026347389242,0.7118894648863475,0.7053762950337715,0.6988631251812032,0.6923499553286291,0.6858367854760502,0.6793236156234737,0.6728104457709052,0.666297275918333,0.6597841060657541,0.653270936213179,0.6467577663606086,0.6402445965080343,0.6337314266554556,0.6272182568028816,0.6207050869503128,0.6141919170977387,0.6076787472451618,1.117063581395611,1.1075404477093715,1.0980173140231384,1.088494180336897,1.0789710466506686,1.069447912964423,1.0599247792781938,1.0504016455919458,1.0408785119057167,1.031355378219476,1.0218322445332395,1.012309110847,1.0027859771607748,0.9932628434745278,0.9837397097882958,0.9742165761020527,0.9646934424158183,0.9551703087295782,0.9456471750433452,0.9361240413571065,0.9266009076708688,0.9170777739846331,0.9075546402983965,0.8980315066121577,0.888508372925922,0.875576810489585,1.1698724367963858,0.6527435147840926,0.6923499553286221,0.8789852392396821,1.012309217882189,0.4573256410857675,0.5625657125349253,0.9990538763539107,1.3348521555378732,0.966721022590999,0.9074661415905719,-2.7903177815822518e-15,0.641648771188497,0.7854454568901712,0.8488565834957216,0.8845630058213253,0.9074661415905803,0.9234053706677391,0.9351377045719459,0.9441344862525257,0.9512525667915082,0.9570247785525007,0.9617998618107646,0.9658156496308575,0.9692399091276119,0.9721943734120232,0.9747695172308779,0.6923499553286305,1.0169436476695526,0.6936525892991554,1.0142137375842573,0.9091735096838818,0.6936525892991471
O2/CH4 Ratio,1.5063437025152222,1.5063361691906967,1.5092643348212043,1.5092643348212043,1.5063361691906967,1.5063361691906967,1.5063361691906967,1.5063361791460328,1.5063361691906967,1.5063361691906967,1.5063361691906967,1.5063361691906967,1.5063361691906967,1.5063361691906967,1.5092643348212043,1.5092643348212043,1.5092643348212045,1.5092643348212045,1.5092643348212047,1.5092643348212043,1.5092643348212047,1.5092643348212045,1.5092643348212043,1.5092643348212043,1.1795991282054512,1.21339800361461,1.2595042537860712,1.3088706368669754,1.3417815589209288,1.365289360388038,1.382920211488371,1.3966330956775181,1.407603403028836,1.4165791090435504,1.424058875670372,1.4303878875277267,1.4358127647893675,1.2547547658139828,1.2854573792380941,1.3008086859501444,1.3129700687496844,1.3456857797616022,1.3690541447701199,1.3865804185265054,1.4002119647814717,1.411117201785445,1.4200396684250594,1.427475057291405,1.4337665401783126,1.4391592397956618,1.3726244056995551,1.3779728762391998,1.3833213467788446,1.3886698173184908,1.3940182878581382,1.3993667583977834,1.4047152289374283,1.410063699477074,1.4154121700167208,1.4207606405563662,1.426109111096011,1.431457581635657,1.436806052175303,1.442154522714949,1.4475029932545942,1.4528514637942398,1.458199934333886,1.4635484048735317,1.4688968754131768,1.4742453459528229,1.4795938164924687,1.4849422870321143,1.4902907575717599,1.4956392281114055,1.500987698651051,1.3763456822809035,1.3816624283825172,1.386979174484126,1.3922959205857388,1.3976126666873496,1.4029294127889627,1.4082461588905744,1.4135629049921867,1.4188796510937984,1.424196397195411,1.429513143297023,1.434829889398635,1.440146635500247,1.4454633816018594,1.450780127703471,1.4560968738050837,1.4614136199066952,1.4667303660083078,1.4720471121099195,1.477363858211532,1.482680604313144,1.487997350414756,1.4933140965163683,1.4986308426179802,1.503947588719592,1.2809957544329003,1.3468626060863043,1.463981511646329,1.4314575816356574,1.5092643348212043,1.4348298990561685,1.5367037266234314,1.4300896894211677,1.179599128205456,1.2547547658139848,1.2061501501698642,1.6126407860286982,2.000000000000001,2.0634601120480274,1.8195846326964387,1.7120412077952294,1.6514838971657886,1.612640786028697,1.5856082760387293,1.5657105487436536,1.5504522464916775,1.5383801695999537,1.5285906514659324,1.5204922368401803,1.5136815671497559,1.5078741138152014,1.5028634207072282,1.498496045053645,1.431457581635658,1.4322425066819013,1.4303878875277265,1.4337665401783124,1.6119119822394758,1.430387887527727
